A (id),B (nombre),C (precio),D (categoria),E (descripcion),F (imagen)
14,Bisteck a Caballo,18.900,Desayunos,"Carne en Salsa Criolla con huevo, arroz y arepa",assets/imagenes/Desayunos/img36.jpg
21,Cumbre Italiana,18.900,Desayunos,Pan Focaccia - Crema de Aguacate Pollo Desmenuzado - Cebolla Salteada Huevos - Nutella - Banano Fresas,assets/imagenes/Desayunos/img54.jpg
23,Extasis en Crocancia de Pan,18.900,Desayunos,"Tajada de pan de Centeno esparcidas en cheese cream, con el frescar de la lechuga, la dulzura de los tomates cherry, la intesnidad del pimiento y la elegancia de la cebolla asada, acompañadas de champiñones, huevos pochados y crocancia de bacon.",assets/imagenes/Desayunos/img71.jpg
36,Pancakes De la Casa,18.900,Desayunos,"Huevos en omelette, acompañados con unos tiernos pancakes americanos, miel de maple, frutilla y durazno laminado.",assets/imagenes/Desayunos/img13.jpg
40,Ritual Matutino de Sibarita,19.500,Desayunos,"Caldo de costilla, tostadas con mantequilla, huevos revueltos al gusto de la abuela con la sinfonía de cebolla y tomate acompañado de un Chocolatico de molinillo con su espuma.",assets/imagenes/Desayunos/img257.jpg
143,"Mojito Oceanic Ron, Convier, limón, soda",20.900,Cocteles,,(Vacio)
138,"Tequila, convier, limón",21.900,Cocteles,,(Vacio)
139,Tequila Sunrise,21.900,Cocteles,,(Vacio)
140,"Tequila, Naranja, Granadina",21.900,Cocteles,,(Vacio)
141,Paloma Sierra,21.900,Cocteles,,(Vacio)
142,"Tequila, limón, Toronja",21.900,Cocteles,,(Vacio)
147,"Crema de Coco, Crema de Baileys, piña",21.900,Cocteles,,(Vacio)
137,Margarita Sierra,23.900,Cocteles,,(Vacio)
146,Piña Colada,23.900,Cocteles,,(Vacio)
41,Tesoros de Salmón,27.900,Desayunos,"Tostadas de guacamole con huevo cocido, abrazadas por el ahumado salmon del mar acompañadas de lechuga y tomates cherry.",assets/imagenes/Desayunos/img72.jpg
162,Viña Peña abernet Sauvignon,59.900,Vinos,,(Vacio)
163,Sauvignon Blanco,69.000,Vinos,,(Vacio)
161,Frontera Cabernet Sauvignon,72.900,Vinos,,(Vacio)
160,Gato Negro Cabernet Sauvignon,74.900,Vinos,,(Vacio)
166,Don Humberto Malbec,74.900,Vinos,,(Vacio)
167,Cono sur bicicleta,78.900,Vinos,,(Vacio)
164,Vino Espumoso Frances,79.000,Vinos,,(Vacio)
165,Sauvignon Blanco,79.000,Vinos,,(Vacio)
159,Casillero Del Diablo Cabernet Sauvignon,79.900,Vinos,,(Vacio)
